smiles,reaction_energy,Pred_LogS,isSoluble
C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)OC3=CN=CC=C3,-1.0127938604682685,-3.6898117,1
C1C(C1(C(=O)[O-])C(=O)[O-])C(=O)[O-],-1.0124605275303125,-0.45862746,1
CC(=O)N=C1N(C2=C(C=CC=C2S1)F)CC(=O)OC,-1.0117375114828349,-3.2543774,1
C1=CC2=C(C=C1F)C(=O)C=C(N2)C(=O)O,-1.0105671308040618,-3.29297,1
C1=CC=C2C(=C1)C=CC=C2NC(=O)C=CC(=O)[O-],-1.0100059202492238,-2.9487097,1
O=Cc1cncn1C=O,-1.0084950854569672,-1.3540909,1
CC(C)CC(=O)OCN1C(=O)C2=CC=CC=C2N=N1,-1.0078037121981382,-3.1477795,1
CC1=CC2=C(C=C1)N=C(C=C2C(=O)N)C3=CC=[NH+]C=C3,-1.0076569540590048,-3.5774982,1
C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)OC3=C[NH+]=CC=C3,-1.0050200137227774,-3.5702145,1
C1=C(C=NC=C1[N+](=O)[O-])C(=O)O,-1.0032919521152972,-1.6649551,1
CC[C@@H](C)CN(CC)c1nc2c(s1)[C@H]([NH2+]C)CC(C)(C)C2,2.873744249343872,-2.586076,1
Cc1ccc(O[C@H](C)[C@@H](C)O)c(C[NH2+]CC(C)C)n1,2.8543851375579834,-1.7201302,1
CC[C@H](C)COc1ccc(C[C@H]([NH3+])CC)nc1,2.833529233932495,-1.7867163,1
CCC(CC)(CCO)CNc1cncc(Br)c1,2.813119411468506,-3.691224,1
CC(C)(C)[NH2+]Cc1ccc(OCC[NH+]2CCCCC2)cn1,2.79488205909729,-1.7022308,1
CN[C@@H](c1cnccc1C)[C@]1([NH+](C)C)CCC[C@H](C)C1,2.793114185333252,-2.824088,1
CCC(C)(C)[NH2+]CCOc1cccnc1C,2.3688168105125422,-1.4929979,1
Cc1ncccc1O[C@H](C)C[NH2+]CC(C)C,2.3382185435056684,-1.3181038,1
COc1ccsc1C[NH+](C)[C@H](C)C1(C)CC1,2.3231979408502577,-3.5406792,1
CC[NH2+]C[C@@H](Oc1cccnc1C)C(C)C,2.314913351011276,-1.5397581,1
CC[NH+](CC)CC[C@H](N)c1cnccc1C,2.3132520736455917,-0.42108703,1
Cc1cnccc1CC[NH2+][C@@H](C(C)C)C1CC1,2.302505910158157,-3.1376987,1
COc1ccsc1CN[C@H]1CC[C@H]([NH+](C)C)C1,2.299947983908653,-1.2921803,1
CCCC[NH2+]CCOc1cccnc1C,2.294042485928536,-1.3128297,1
CCCN[C@H](c1cnccc1C)C(C)(C)[NH+](C)C,2.293042301344871,-1.5871457,1
COc1c(C)cnc(C[C@]2(C[NH3+])CCC(C)(C)[C@H]2O)c1C,2.288199901986122,-1.7606697,1
C[NH2+]Cc1nc(C)ccc1OCC(C)(C)O,2.282763039278984,-1.2136154,1
CN[C@@H](c1cnccc1C)[C@@]1([NH+](C)C)CCC[C@H](C)C1,2.278860882782936,-2.3928795,1
CCC[NH2+]Cc1ccc(O[C@H]2CCC[C@H](CC)C2)cn1,2.274028391146659,-2.7597332,1
CCN(CC)c1ncc(CN[C@H]2CC[C@H]([NH+](C)C)C2)s1,2.272703728652,-2.3543925,1
CC(C)C[NH2+]Cc1ccc(OCC2CCCC2)cn1,2.2726442823171613,-2.432798,1
COc1c(C)cnc(C[NH+]2CCC(N(C)CC[NH+]3CCCC3)CC2)c1C,2.271676050138473,-1.7084285,1
COc1ccsc1C[NH+]1CC[C@@H](CSC)C1,2.269913714003563,-1.8693087,1
C[C@H](CO)[NH2+]CCCOc1cccnc1,2.265821081542968,-0.46034193,1
CCCN(CCC)c1nc(C(C)C)c(C[NH3+])s1,2.2620717516660687,-1.8935809,1
CCCCc1nc2c(s1)[C@H]([NH2+]CCC)CC(C)(C)C2,2.2568751512289045,-2.8038917,1
C[NH+]1CCC[C@@H](c2ccc(NCCO)cn2)C1,2.2529412900209422,-0.69607234,1
CC[NH2+][C@H](Cc1nccn1C)[C@]1(N(C)C)CCC[C@H](C)C1,2.252190780043602,-1.8805425,1
CCN[C@@H](Cc1nccn1CC)C(C)(C)[NH+]1CCCC1,2.2470788906335826,-2.8998969,1
COC[C@@H](O)COc1ccc(C)nc1CO,2.245650940132141,-0.8182967,1
CCN(c1nc(C(C)C)c(C[NH3+])s1)C(C)C,2.244962105727196,-1.6878418,1
CCN[C@@H](Cc1nc(C)c(C)s1)C(C)(C)[NH+](C)C,2.240999759817123,-1.18227,1
C[C@H]1CCC[C@H](Oc2ccc(C[C@@H](C)[NH3+])nc2)C1,2.2407263066768643,-1.9526249,1
CCNc1cocc1N,2.240515519881248,-0.5405257,1
CCC[NH2+]C[C@H](C)Cc1nc(C(C)(C)C)cs1,2.2397716976165767,-2.4506686,1
CCC(CC)[NH2+]CCc1csc(C(C)(C)C)n1,2.239428642725944,-2.3406956,1
Cc1nn(C)c(C)c1C[NH2+]C[C@@H](CC(C)C)[NH+]1CCCC1,2.2355388708829875,-1.5726968,1
CN(C)c1cocc1N,2.22999500477314,-0.48954248,1
CC(C)[NH2+]C[C@@H](C)Cc1nc(C(C)(C)C)cs1,2.229913266062736,-2.6960263,1
CNc1cocc1NC,2.2276607453584667,-0.40212083,1
CC[C@H](C)C[NH2+]Cc1csc(N(C)C)n1,2.227534421896934,-1.4324076,1
CCC[NH2+][C@H](Cc1nc(C)c(C)s1)CC(C)C,2.226471323275566,-1.5742373,1
Cc1nn(C)c(N(C)C2CC2)c1C[NH2+]C(C)C,2.2224126247644422,-3.1319046,1
Cc1ncccc1OCC[NH2+]C1CCCCCC1,2.222378195428848,-1.7248756,1
CC[C@](C)([C@@H](O)Cc1nc(C(C)(C)C)cs1)[NH+](C)C,2.2213539846181867,-1.6382104,1
CC(C)[C@H](C[NH2+][C@H](C)c1ccoc1)[NH+](C)C,2.2206906625986096,-0.61393166,1
CC(C)[C@H]([NH2+]C[C@@H](C)C[NH+]1CCCCC1)c1cccnc1,2.219964426541328,-2.5774665,1
Cc1cnccc1CC[NH2+]C1CC[NH+]([C@H]2CCC[C@H](C)C2)CC1,2.218497092843056,-2.3941817,1
CCC[NH2+]Cc1nc(C)ccc1OC,2.218080225419998,-0.6139314,1
CCc1nc(N(C)C[C@@H]2CCC[NH+]2C)sc1C[NH2+]C,2.2174463788747785,-1.3126502,1
COCCCCOc1c(C)nn(C)c1C,2.216107350182533,-2.5502362,1
CC(C)[NH2+]Cc1ccc(OC[C@@H](C)O)cn1,2.2149360096931456,-0.6023557,1
CC(C)[C@H](C[NH+](C)C)NCc1ccc(O)cn1,2.2143338678598403,-0.8800261,1
Cc1nc2c(s1)[C@H]([NH2+][C@H](CO)CC(C)(C)C)CCC2,2.214055460858345,-2.2105792,1
COC[C@H](C)Oc1ccc(C[NH2+]C(C)C)nc1,2.2137911723613737,-1.1325421,1
CC1CCC(O)(C[NH+](C)[C@H](C)c2cccnc2)CC1,2.213412201976776,-2.2807827,1
CCN(CC(C)(C)O)c1ccc(N)c(OC)n1,2.21103286242485,-2.1080165,1
C[C@H]1CN(c2ccc(N)c(OC(C)(C)C)n2)C[C@@H]1C,2.209768389344215,-2.7656138,1
C[C@H]([NH2+][C@H](C)C(C)(C)C)c1cccnc1,2.2097342077016826,-2.023013,1
CC[NH2+][C@H](Cc1nccn1CC)C1CCC(C)(C)CC1,2.2090726195335386,-3.1402516,1
CCCOc1nc(N(C)CC(C)C)ccc1N,2.207270652508736,-2.6604745,1
Cc1occc1C[NH+](C)CCCCCS,2.206536490273475,-1.9984217,1
CC[NH2+]Cc1c(C)nn(C)c1N(C)[C@@H](C)CC,2.202073804378509,-1.9047515,1
CCO[C@H]1C[C@@H]([NH+](C)Cc2cccnc2C)C1(C)C,2.2020490350723265,-1.9887524,1
CC(C)C[NH2+]Cc1nc2c(s1)CCC2(C)C,2.202019064211845,-2.2110648,1
Cc1csc(CCCCN[C@H]2C[NH+](C(C)C)C[C@@H]2C)n1,2.201781278872489,-3.6332788,1
CC[NH2+][C@H](C)C(C)(C)C[NH+](C)Cc1ccc(C)o1,2.201725300240516,-1.1843069,1
Cc1nc(C[C@@](C)(O)C[NH2+]C(C)(C)C)sc1C,2.201008971905708,-1.0120604,1
CCOc1ccc(C[NH+]2CCC([C@@H](C)O)CC2)nc1,2.1992847805023192,-1.0290532,1
CCC[NH2+]Cc1sc(N(C)C2CCCCC2)nc1C(C)C,2.199070526003837,-2.9196916,1
CC[NH2+]Cc1ccc(O[C@@H]2CCCCC[C@H]2O)cn1,2.197452594923973,-1.3044384,1
CCCn1nc(C)c(CN[C@H]2CC[C@@H]([NH+](C)C)C2)c1C,2.1955698799610137,-1.9355568,1
CCC[NH2+][C@@H](Cc1nccn1C)C1CCC(CC)CC1,2.194807233023643,-3.397767,1
CCCN(CC1CC1)c1nc(C(C)C)c(C[NH3+])s1,2.194532789111137,-2.675331,1
Cc1ncc([C@H](C)NC[C@H](CC(C)C)[NH+]2CCCC2)s1,2.1929871844053266,-2.9082317,1
Cc1cccnc1C[C@H](O)C[C@H](C)C(C)(C)C,2.192362007117271,-2.6661034,1
CCc1nn(C)c(CC)c1CN[C@@H]1C[C@H](C)[NH+](C)C[C@@H]1C,2.1923196516036985,-2.5903137,1
C[C@@H]1CC[C@@H](CO)C[NH+]1Cc1cnc(C(C)(C)C)s1,2.1888769657373426,-2.293456,1
CC[NH+](C)C[C@@H]1CCN(Cc2sccc2OC)C1,2.187554284787178,-1.7611386,1
CC(C)CCOc1ccc(C[NH3+])nc1,2.187534469342232,-0.7992182,1
C[C@@H](O)CC[NH+](C)Cc1cnc(C(C)(C)C)s1,2.1817562855958936,-1.5962267,1
Cc1ncc([C@@H](C)NCCC[NH+]2C[C@@H](C)C[C@H](C)C2)s1,2.1796714530944823,-2.9794528,1
CCc1ccsc1CNC[C@@H](C[NH3+])C(C)C,2.178474847912788,-1.1870735,1
CCC[NH2+]C[C@](C)(CC)Cc1nc(C)cs1,2.178440418577194,-2.5388224,1
Cc1nn(CCO)c(C)c1CN[C@H]1CC[C@@H]([NH+](C)C)C1,2.178123619151115,-1.3157201,1
COC[C@H](O)C[NH+](C)Cc1cc(Br)c(OC)s1,2.178110243725776,-1.6729103,1
CC[C@H](C)[C@@H](O)C[NH2+][C@@H](C)c1cccnc1,2.1777748673200605,-1.1199846,1
Cc1ccc(OCC2CCCC2)c(C[NH3+])n1,2.1771169945478435,-1.6904942,1
Cc1nn(C(C)(C)C)cc1[C@H](C)[NH2+]CC(C)(C)C[C@@H](C)O,2.1746707778692245,-2.4904602,1
CCN[C@@H](Cc1nc(C)cs1)C1([NH+](C)C)CCCCC1,2.174481540369987,-2.519188,1
COc1c(C)cnc(C[NH2+][C@@H](CCl)C(C)C)c1C,2.1744121863126757,-1.560074,1
Cc1ccc([C@H](C)[NH2+]C[C@@](C)(O)C[NH+](C)C)s1,2.1738003844499585,-0.43619108,1
CCn1nccc1C[NH+](C)C[C@@]1(O)CCC[NH+](C)C1,2.173661180949211,-0.8198314,1
C[C@H]([NH2+]C[C@@]1(N(C)C)CCC[C@@H](C)C1)c1ccoc1,2.1735118220329284,-1.6648533,1
CCC[NH2+][C@@H](Cc1nccn1C)[C@H]1CCC[C@H](C)C1,2.1734422202825545,-3.2783608,1
CC(C)(C)c1csc(C[C@@](C)(O)CC[NH3+])n1,2.173110806965828,-1.2973008,1
CCC[C@@H](C)[C@@H](Cc1ncccc1C)[NH2+]CC,2.1724246971845624,-1.928265,1
CC(C)C[C@@H](C[NH3+])CN(C)Cc1csc(Br)c1,2.1723464261770244,-2.4129572,1
CCC[NH2+]Cc1sc(N2C[C@@H](C)[C@H](C)C2)nc1CC,2.171314041495323,-2.11173,1
C[C@@H]1CCC[C@@]([NH3+])(Cc2nc(C(C)(C)C)cs2)C1,2.1672157120943067,-2.7935123,1
CCCn1nc(C)c(C[NH+](C)[C@@H]2CCC[C@@H]2SC)c1C,2.165401360416412,-3.4460127,1
CCC[C@@]1(C)CCC[NH+](Cc2c(C)nn(C)c2OC)C1,2.163323958706856,-2.7156556,1
C[C@@H](c1ccncc1)[C@@H](O)C1C(C)(C)C1(C)C,2.163297950935364,-3.6448236,1
CC(C)(C)c1csc([C@](C)([NH3+])C2(C)CC2)n1,2.162600199580192,-1.8381897,1
CCn1nc(C)c([C@H](C)[NH+](C)C2CCC([NH3+])CC2)c1C,2.1624991408109664,-2.4874396,1
Cc1cccnc1C[NH+]1CCCC[C@@H]1CCOC(C)C,2.1620275332212446,-2.5863886,1
CCOC[C@H]1CCC[NH+](Cc2cnc(C(C)C)s2)C1,2.1619378683328625,-2.2921643,1
CCCn1nc(C)c(N)c1N1C[C@@H](C)[C@@H](C)C1,2.1618112971782684,-2.904946,1
Cc1oc(C[NH2+]C(C)C)cc1C[NH+]1CCC(C)(C)C1,2.1617238615274426,-1.2148433,1
C[NH+](C)C[C@H](O)Cc1nc(C(C)(C)C)cs1,2.1602614816904064,-1.2976272,1
CC(C)c1nc(N2CCC(C[NH+](C)C)CC2)sc1C[NH3+],2.159214235424995,-1.1382735,1
Cc1ccc(O)c(C[NH+]2CCC[C@@H]2CO)n1,2.158729252409935,-0.5623393,1
CC[NH2+][C@@H](CSCC)Cc1nc(C)c(C)s1,2.158237829375267,-1.342099,1
CCc1c(C)nn([C@H]2CCCC(C)(C)[C@@H]2[NH2+]C)c1C,2.1578459789514537,-3.5945015,1
Cc1nc(C(C)(C)C)sc1[C@H](C)[NH2+][C@H](CO)C(C)C,2.15739715912342,-1.8233451,1
CC[C@@H]1C[C@H](C)CC[C@@H]1[NH2+]CCc1c(C)nn(C)c1C,2.157390719103813,-2.7093244,1
CCC[NH+]1CCC(N(C)Cc2c(C)nn(CCO)c2C)CC1,2.1569277807712552,-1.7947549,1
CCC[NH2+][C@H](c1cccnc1)C(CC)CC,2.156589679741859,-2.284904,1
Cc1nc(C[C@H](C)C[NH2+]C(C)C)sc1C,2.1560873582124707,-1.329087,1
Cc1nn(C)c(C)c1O[C@H](C)[C@@H](C)O,2.156050947332382,-2.101423,1
COC[C@@H](C)[NH2+][C@H](C)c1csc(C(C)C)n1,2.1553697914123533,-1.3445916,1
CCc1ccc(C[C@H]([NH2+]C)C2(N(C)C)CCCC2)s1,2.154800840449333,-1.4825099,1
C[NH2+][C@H](C)C[C@@H](C)Cc1nc(C)c(C)s1,2.1547956388950347,-1.5222795,1
CSCCC[NH2+][C@@H](c1cccnc1)C(C)C,2.1547290094614024,-1.7605538,1
CCC[C@@H]1CC[C@H]([NH2+]CC)[C@H](Cc2nc(C)cs2)C1,2.153625784564018,-3.6104114,1
CCC[C@@H](C)[C@H]([NH2+]CC)[C@@H](C)c1ccncc1,2.152664735484123,-3.0286345,1
Cc1nc(N(C)C)sc1C[NH+]1CCC[C@@H](C)[C@@H]1C,2.151983827257156,-3.0289745,1
CC[NH2+][C@H](C)[C@@H](C)Cc1nc(C)c(C)s1,2.15165786318779,-1.3142917,1
CC(C)[NH2+][C@@H](C)c1nc(C(C)(C)C)cs1,2.1508724284887317,-2.152049,1
Cc1ncccc1NC[C@@H]1CCC[C@@H](C)C1,2.150519713568688,-3.662542,1
CC(C)C1CCC(C[NH3+])([C@H](O)c2cccnc2)CC1,2.15037927160263,-1.1818736,1
Cc1occc1N(C)C,2.1503227975845336,-0.53464055,1
CC[NH2+][C@H](Cc1nccn1CC)[C@H](C)OC,2.149990641188621,-1.0259476,1
