smiles,reaction_energy
Nc1nc(N)c(N)nc1N,0.03508
Nc1nc(N)cnc1N,0.02561
Nc1cnc(N)c(n1)O,0.02375
Nc1c(O)nc(N)c(n1)O,0.03105
Nc1c(S(=O)(=O)O)nc(N)c(n1)S(=O)(=O)O,-0.01532
Nc1cnc(N)c(n1)S(=O)(=O)O,-0.00428
O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(c12)C(=O)CC2=O,-0.01475
O=C(O)c1c(C(=O)O)c(C(=O)O)cc(c12)C(=O)CC2=O,-0.00527
O=C(O)c1c(C(=O)O)cc(C(=O)O)c(c12)C(=O)CC2=O,-0.02054
O=C(O)c1c(C(=O)O)ccc(c12)C(=O)CC2=O,-2e-05
O=C(O)c1cc(C(=O)O)cc(c12)C(=O)CC2=O,-0.0146
O=C(O)c1ccc(C(=O)O)c(c12)C(=O)CC2=O,-0.01978
O=C(O)c1cccc(c12)C(=O)CC2=O,0.00232
O=C(O)c(c1)c(C(=O)O)cc(c12)C(=O)CC2=O,-0.00758
O=C(O)c(c1)ccc(c12)C(=O)CC2=O,0.00547
c1cccc(c12)C(=O)CC2=O,0.0159
Fc1c(F)c(F)c(F)c(c12)C(=O)CC2=O,0.00485
Fc1c(F)c(F)cc(c12)C(=O)CC2=O,0.0087
Fc1c(F)cc(F)c(c12)C(=O)CC2=O,0.00582
Fc1c(F)ccc(c12)C(=O)CC2=O,0.01013
Fc1cc(F)cc(c12)C(=O)CC2=O,0.00909
Fc1ccc(F)c(c12)C(=O)CC2=O,0.00605
Fc1cccc(c12)C(=O)CC2=O,0.01084
c1c(F)c(F)cc(c12)C(=O)CC2=O,0.01241
c1c(F)ccc(c12)C(=O)CC2=O,0.01398
Nc1c(N)c(N)c(N)c(c12)C(=O)CC2=O,0.04878
Nc1c(N)c(N)cc(c12)C(=O)CC2=O,0.0497
Nc1c(N)cc(N)c(c12)C(=O)CC2=O,0.05107
Nc1c(N)ccc(c12)C(=O)CC2=O,0.04004
